variable_name,varid,type,dimension,long_name,standard_name,conventions,units,_FillValue,valid_min,valid_max,axis,ancillary_variable,accuracy,precision,resolution,cell_methods,DM_indicator,reference_scale,coordinate_reference,coordinate_reference_frame,sdn_parameter_urn,sdn_uom_urn,comment  ,Example
,,,,,,,,,,,,,,,,,,,,,,,,
SENSOR,sensor,char,"N_SENSOR, STRING32",Name of the sensor mounted on the tag,,POPSTAR reference table 25,,,,,,,,,,,,,,,,,Names of the sensors mounted on the tag. See POPSTAR reference table 25. ,
SENSOR_MAKER,sensor_maker,char,"N_SENSOR, STRING256",Name of the sensor manufacturer,,POPSTAR reference table 26,,,,,,,,,,,,,,,,,Name of the manufacturer of the sensor. See POPSTAR reference table 26 ,
SENSOR_MODEL,sensor_model,char,"N_SENSOR, STRING256",Type of the sensor,,POPSTAR reference table 27,,,,,,,,,,,,,,,,,Model of sensor. See POPSTAR reference table 27. ,
SENSOR_SERIAL_NO,sensor_serial_no,char,"N_SENSOR, STRING16",Serial number of the sensor,,,,,,,,,,,,,,,,,,,Serial number of the sensor.,
,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER,parameter,char,"N_PARAM, STRING64",Name of parameter computed from tag measurements,,POPSTAR reference table 3a,,,,,,,,,,,,,,,,,Names of the parameters measured by tag sensors or derived from tag measurements. The parameter names are listed in reference table 3a.,
PARAMETER_SENSOR,parameter_sensor,char,"N_PARAM, STRING128",Name of the sensor that measures this parameter,,POPSTAR reference table 25,,,,,,,,,,,,,,,,,Names of the sensors that measured the tag parameters. See POPSTAR reference table 25.,
PARAMETER_UNITS,parameter_units,char,"N_PARAM, STRING32",Units of accuracy and resolution of the parameter,,,,,,,,,,,,,,,,,,,Units of accuracy and resolution of the parameter.,
PARAMETER_ACCURACY,parameter_accuracy,char,"N_PARAM, STRING32",Accuracy of the parameter,,,,,,,,,,,,,,,,,,,Accuracy of the parameter.,
,,,,,,,,,,,,,,,,,,,,,,,,
DERIVATION_PARAMETER,derivation_parameter,char,"N_DERIVATION, STRING64",List of parameters with derivation or calibration information,,POPSTAR reference table 3a,,,,,,,,,,,,,,,,,Name of the derived or calibrated parameter. The list of parameters is in reference table 3a,TEMP
DERIVATION_EQUATION,derivation_equation,char,"N_DERIVATION, STRING4096",Derivation or calibration equation for this parameter,,,,,,,,,,,,,,,,,,,Derivation or calibration equation applied to the parameter,Tc = a1 * T + a0
DERIVATION_COEFFICIENT,derivation_coefficient,char,"N_DERIVATION, STRING4096",Derivation or calibration coefficients for this equation,,,,,,,,,,,,,,,,,,,Derivation or calibration coefficients for this equation.,"a1=0.99997 , a0=0.0021"
DERIVATION_COMMENT,derivation_comment,char,"N_DERIVATION, STRING4096",Comment applying to this parameter derivation or calibration,,,,,,,,,,,,,,,,,,,Comment about this derivation or calibration,The sensor is not stable
